S.No,State,District ,Code ,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²),
526,Jammu and Kashmir (JK),Rajouri,RA,Rajouri,"6,19,266","2,630",235,
527,Punjab (PB),Faridkot,FR,Faridkot,"6,18,008","1,472",424,
528,Uttarakhand (UK),Tehri Garhwal,TG,New Tehri,"6,16,409","4,085",169,
529,Jammu and Kashmir (JK),Kathua,KT,Kathua,"6,15,711","2,651",232,
530,Punjab (PB),Shahid Bhagat Singh Nagar,PB,Nawanshahr,"6,14,362","1,283",479,
531,Odisha (OD),Malkangiri,ML,Malkangiri,"6,12,727","6,115",106,
532,Odisha (OD),Nuapada,NU,Nuapada,"6,06,490","3,408",157,
533,Punjab (PB),Fatehgarh Sahib,FT,Fatehgarh Sahib,"5,99,814","1,180",508,
534,Jharkhand (JH),Simdega,SI,Simdega,"5,99,813","3,750",160,
535,Punjab (PB),Barnala,BNL,Barnala,"5,96,294","1,423",419,
536,Gujarat (GJ),Narmada,NR,Rajpipla,"5,90,379","2,749",214,
537,Gujarat (GJ),Porbandar,PO,Porbandar,"5,86,062","2,294",255,
538,Chhattisgarh (CG),Kabirdham (formerly Kawardha),KW,Kawardha,"5,84,667","4,237",195,
539,Odisha (OD),Jharsuguda,JH,Jharsuguda,"5,79,499","2,202",274,
540,Delhi (DL),Central Delhi,CD,Daryaganj,"5,78,671",25,"23,149",
541,Himachal Pradesh (HP),Solan,SO,Solan,"5,76,670","1,936",298,
542,Odisha (OD),Gajapati,GP,Paralakhemundi,"5,75,880","3,056",133,
543,Madhya Pradesh (MP),Harda,HA,Harda,"5,70,302","3,339",171,
544,Jammu and Kashmir (JK),Pulwama,PU,Pulwama,"5,70,060","1,398",598,
545,Tamil Nadu (TN),Perambalur,PE,Perambalur,"5,64,511","1,752",323,
546,Haryana (HR),Panchkula,PK,Panchkula,"5,58,890",816,622,
547,Jammu and Kashmir (JK),Udhampur,UD,Udhampur,"5,55,357","4,550",211,
548,Karnataka (KA),Kodagu,KD,Madikeri,"5,54,762","4,102",135,
549,Chhattisgarh (CG),Dantewada,DA,Dantewada,"5,32,791",3410,59,
550,Jharkhand (JH),Khunti,KH,Khunti,"5,30,299","2,467",215,
551,Himachal Pradesh (HP),Sirmaur,SI,Nahan,"5,30,164","2,825",188,
552,Himachal Pradesh (HP),Una,UNA,Una,"5,21,057","1,540",328,
553,Himachal Pradesh (HP),Chamba,CH,Chamba,"5,18,844","6,528",80,
554,Manipur (MN),Imphal West,WI,Lamphelpat,"5,14,683",519,992,
555,Uttarakhand (UK),Pithoragarh,PI,Pithoragarh,"4,85,993","7,110",69,
556,Tripura (TR),Sepahijala,SP,Bishramganj,"4,84,233",1044.78,463,
557,Assam (AS),Chirang,CH,Kajalgaon,"4,81,818","1,975",244,
